date,capacity
2021-01-01,2767.0
2021-01-02,2936.0
2021-01-03,3037.0
2021-01-04,3032.0
2021-01-05,3067.0
2021-01-06,3102.0
2021-01-07,3102.0
2021-01-08,3106.0
2021-01-09,3201.0
2021-01-10,2906.0
2021-01-11,3093.0
2021-01-12,3116.0
2021-01-13,3114.0
2021-01-14,3132.0
2021-01-15,3309.0
2021-01-16,3046.0
2021-01-17,3034.0
2021-01-18,3157.0
2021-01-19,3158.0
2021-01-20,3150.0
2021-01-21,3074.0
2021-01-22,3097.0
2021-01-23,3203.0
2021-01-24,3073.0
2021-01-25,3269.0
2021-01-26,3219.0
2021-01-27,3064.0
2021-01-28,3286.0
2021-01-29,3203.0
2021-01-30,3447.0
2021-01-31,2906.0
2021-02-01,2938.0
2021-02-02,3046.0
2021-02-03,3006.0
2021-02-04,3132.0
2021-02-05,3060.0
2021-02-06,3066.0
2021-02-07,2763.0
2021-02-08,3047.0
2021-02-09,2880.0
2021-02-10,2887.0
2021-02-11,2833.0
2021-02-12,2992.0
2021-02-13,3024.0
2021-02-14,2911.0
2021-02-15,2644.0
2021-02-16,3001.0
2021-02-17,2824.0
2021-02-18,2907.0
2021-02-19,2885.0
2021-02-20,2975.0
2021-02-21,3139.0
2021-02-22,2989.0
2021-02-23,3109.0
2021-02-24,3049.0
2021-02-25,3028.0
2021-02-26,3041.0
2021-02-27,2758.0
2021-02-28,2672.0
2021-03-01,2832.0
2021-03-02,3221.0
2021-03-03,3075.0
2021-03-04,3088.0
2021-03-05,3268.0
2021-03-06,2805.0
2021-03-07,2751.0
2021-03-08,3110.0
2021-03-09,3048.0
2021-03-10,3055.0
2021-03-11,3076.0
2021-03-12,3272.0
2021-03-13,3075.0
2021-03-14,2933.0
2021-03-15,3075.0
2021-03-16,3087.0
2021-03-17,3183.0
2021-03-18,3214.0
2021-03-19,3137.0
2021-03-20,2838.0
2021-03-21,3186.0
2021-03-22,3225.0
2021-03-23,3537.0
2021-03-24,3059.0
2021-03-25,3272.0
2021-03-26,3279.0
2021-03-27,3201.0
2021-03-28,2919.0
2021-03-29,3181.0
2021-03-30,3262.0
2021-03-31,3229.0
2021-04-01,3470.0
2021-04-02,3160.0
2021-04-03,3057.0
2021-04-04,2995.0
2021-04-05,2872.0
2021-04-06,3201.0
2021-04-07,3247.0
2021-04-08,3298.0
2021-04-09,3211.0
2021-04-10,2966.0
2021-04-11,2848.0
2021-04-12,3205.0
2021-04-13,3195.0
2021-04-14,3235.0
2021-04-15,3208.0
2021-04-16,3320.0
2021-04-17,2883.0
2021-04-18,2863.0
2021-04-19,3091.0
2021-04-20,3214.0
2021-04-21,3302.0
2021-04-22,3285.0
2021-04-23,3334.0
2021-04-24,2989.0
2021-04-25,2911.0
2021-04-26,3197.0
2021-04-27,3474.0
2021-04-28,3169.0
2021-04-29,3296.0
2021-04-30,3058.0
2021-05-01,2884.0
2021-05-02,2975.0
2021-05-03,3234.0
2021-05-04,3360.0
2021-05-05,3578.0
2021-05-06,3465.0
2021-05-07,3518.0
2021-05-08,3305.0
2021-05-09,2975.0
2021-05-10,3519.0
2021-05-11,3611.0
2021-05-12,3669.0
2021-05-13,3682.0
2021-05-14,3344.0
2021-05-15,3507.0
2021-05-16,3306.0
2021-05-17,1437.0
2021-05-18,3095.0
2021-05-19,2880.0
2021-05-20,2570.0
2021-05-21,2882.0
2021-05-22,3653.0
2021-05-23,2244.0
2021-05-24,2285.0
2021-05-25,2797.0
2021-05-26,2388.0
2021-05-27,2523.0
2021-05-28,2326.0
2021-05-29,4990.0
2021-05-30,3604.0
2021-05-31,4077.0
2021-06-01,3562.0
2021-06-02,3989.0
2021-06-03,3799.0
2021-06-04,3726.0
2021-06-05,3987.0
2021-06-06,4063.0
2021-06-07,4602.0
2021-06-08,3775.0
2021-06-09,3914.0
2021-06-10,3749.0
2021-06-11,2900.0
2021-06-12,3046.0
2021-06-13,2729.0
2021-06-14,3273.0
2021-06-15,3750.0
2021-06-16,3715.0
2021-06-17,3833.0
2021-06-18,3848.0
2021-06-19,4685.0
2021-06-20,4156.0
2021-06-21,3986.0
2021-06-22,3589.0
2021-06-23,3901.0
2021-06-24,4694.0
2021-06-25,5589.0
2021-06-26,4203.0
2021-06-27,4320.0
2021-06-28,5005.0
2021-06-29,5282.0
2021-06-30,5987.0
2021-07-01,6038.0
2021-07-02,4602.0
2021-07-03,4326.0
2021-07-04,4525.0
2021-07-05,2268.0
2021-07-06,3924.0
2021-07-07,3799.0
2021-07-08,3805.0
2021-07-09,3858.0
2021-07-10,3811.0
2021-07-11,3394.0
2021-07-12,3464.0
2021-07-13,2872.0
2021-07-14,3832.0
2021-07-15,4013.0
2021-07-16,4235.0
2021-07-17,4113.0
2021-07-18,4457.0
2021-07-19,3338.0
2021-07-20,4042.0
2021-07-21,5476.0
2021-07-22,5400.0
2021-07-23,5657.0
2021-07-24,4373.0
2021-07-25,3494.0
2021-07-26,4518.0
2021-07-27,3950.0
2021-07-28,3033.0
2021-07-29,3834.0
2021-07-30,3833.0
2021-07-31,5201.0
2021-08-01,5486.0
2021-08-02,4516.0
2021-08-03,5591.0
2021-08-04,4495.0
2021-08-05,4526.0
2021-08-06,4637.0
2021-08-07,3438.0
2021-08-08,4066.0
2021-08-09,4845.0
2021-08-10,4897.0
2021-08-11,5975.0
2021-08-12,5950.0
2021-08-13,5481.0
2021-08-14,5364.0
2021-08-15,3483.0
2021-08-16,4420.0
2021-08-17,4393.0
2021-08-18,4364.0
2021-08-19,4913.0
2021-08-20,5119.0
2021-08-21,4736.0
2021-08-22,3853.0
2021-08-23,4656.0
2021-08-24,3983.0
2021-08-25,3951.0
2021-08-26,4487.0
2021-08-27,4788.0
2021-08-28,5328.0
2021-08-29,4682.0
2021-08-30,3749.0
2021-08-31,4829.0
2021-09-01,3849.0
2021-09-02,4267.0
2021-09-03,3969.0
2021-09-04,5140.0
2021-09-05,4562.0
2021-09-06,3883.0
2021-09-07,3843.0
2021-09-08,3860.0
2021-09-09,3902.0
2021-09-10,3303.0
2021-09-11,3720.0
2021-09-12,4008.0
2021-09-13,3846.0
2021-09-14,3958.0
2021-09-15,3899.0
2021-09-16,4841.0
2021-09-17,4647.0
2021-09-18,4609.0
2021-09-19,3153.0
2021-09-20,6911.0
2021-09-21,6556.0
2021-09-22,3816.0
2021-09-23,3133.0
2021-09-24,4457.0
2021-09-25,5348.0
2021-09-26,3209.0
2021-09-27,4395.0
2021-09-28,5268.0
2021-09-29,4843.0
2021-09-30,5212.0
2021-10-01,3175.0
2021-10-02,5235.0
2021-10-03,3317.0
2021-10-04,3756.0
2021-10-05,2670.0
2021-10-06,2327.0
2021-10-07,1629.0
2021-10-08,1854.0
2021-10-09,5140.0
2021-10-10,3642.0
2021-10-11,2614.0
2021-10-12,2384.0
2021-10-13,2572.0
2021-10-14,2884.0
2021-10-15,2808.0
2021-10-16,5663.0
2021-10-17,6547.0
2021-10-18,5902.0
2021-10-19,5502.0
2021-10-20,5030.0
2021-10-21,6040.0
2021-10-22,3899.0
2021-10-23,4684.0
2021-10-24,5049.0
2021-10-25,4043.0
2021-10-26,3471.0
2021-10-27,3915.0
2021-10-28,6817.0
2021-10-29,5412.0
2021-10-30,3806.0
2021-10-31,4487.0
2021-11-01,3357.0
2021-11-02,2949.0
2021-11-03,4206.0
2021-11-04,3767.0
2021-11-05,2818.0
2021-11-06,5471.0
2021-11-07,2584.0
2021-11-08,5417.0
2021-11-09,3914.0
2021-11-10,3686.0
2021-11-11,3857.0
2021-11-12,4318.0
2021-11-13,5117.0
2021-11-14,4827.0
2021-11-15,3571.0
2021-11-16,3899.0
2021-11-17,3859.0
2021-11-18,3466.0
2021-11-19,5704.0
2021-11-20,4094.0
2021-11-21,4098.0
2021-11-22,6608.0
2021-11-23,4036.0
2021-11-24,3858.0
2021-11-25,3937.0
2021-11-26,4089.0
2021-11-27,3727.0
2021-11-28,3435.0
2021-11-29,2773.0
2021-11-30,4007.0
2021-12-01,4556.0
2021-12-02,3821.0
2021-12-03,4966.0
2021-12-04,4418.0
2021-12-05,3620.0
2021-12-06,3792.0
2021-12-07,2841.0
2021-12-08,4244.0
2021-12-09,3256.0
2021-12-10,3531.0
2021-12-11,3273.0
2021-12-12,4515.0
2021-12-13,4083.0
2021-12-14,3050.0
2021-12-15,2686.0
2021-12-16,2864.0
2021-12-17,6616.0
2021-12-18,4279.0
2021-12-19,3428.0
2021-12-20,2642.0
2021-12-21,2862.0
2021-12-22,3057.0
2021-12-23,2423.0
2021-12-24,3191.0
2021-12-25,3035.0
2021-12-26,3429.0
2021-12-27,3767.0
2021-12-28,3252.0
2021-12-29,2807.0
2021-12-30,4376.0
2021-12-31,3927.0
2022-01-01,3345.0
2022-01-02,3641.0
2022-01-03,3184.0
2022-01-04,2620.0
2022-01-05,2512.0
2022-01-06,3209.0
2022-01-07,3010.0
2022-01-08,3147.0
2022-01-09,3158.0
2022-01-10,2491.0
2022-01-11,2413.0
2022-01-12,2220.0
2022-01-13,2475.0
2022-01-14,2681.0
2022-01-15,2293.0
2022-01-16,3429.0
2022-01-17,2715.0
2022-01-18,2425.0
2022-01-19,3002.0
2022-01-20,2660.0
2022-01-21,2179.0
2022-01-22,3032.0
2022-01-23,2301.0
2022-01-24,3167.0
2022-01-25,2963.0
2022-01-26,2549.0
2022-01-27,3463.0
2022-01-28,4700.0
2022-01-29,3346.0
2022-01-30,3087.0
2022-01-31,3111.0
2022-02-01,4421.0
2022-02-02,3232.0
2022-02-03,3135.0
2022-02-04,3577.0
2022-02-05,2930.0
2022-02-06,3108.0
2022-02-07,2986.0
2022-02-08,3395.0
2022-02-09,2833.0
2022-02-10,2972.0
2022-02-11,3343.0
2022-02-12,2921.0
2022-02-13,3757.0
2022-02-14,2966.0
